X,Y,Facies,Porosity,Perm,AI
100.0,900.0,1.0,0.1001868241912439,1.363890472848054,5110.699751465372
100.0,800.0,0.0,0.107946628634116,12.576844998606088,4671.458560255537
100.0,700.0,0.0,0.0853567242142331,5.984520458439763,6127.548005958979
100.0,600.0,0.0,0.1084599833841814,2.4466782403893257,5201.6379955872735
100.0,500.0,0.0,0.1024683411769814,1.9522636749783289,3835.270322293028
100.0,400.0,0.0,0.1105787690949264,3.691907690165497,5295.267190821814
100.0,300.0,0.0,0.0889362126111913,1.0735819048532833,6744.996105715771
100.0,200.0,0.0,0.1020936214162576,2.396189192554137,5947.338115410894
100.0,100.0,1.0,0.1374531241671051,5.727602877832081,5823.241782736519
200.0,900.0,1.0,0.1370617522999189,14.771314229160836,5621.146994439374
200.0,800.0,1.0,0.1259838767623109,10.675435560783528,4292.700500464626
200.0,700.0,0.0,0.1217542894982767,3.0858253664765947,5397.40021829629
200.0,600.0,0.0,0.0951472780097365,0.9625654663384924,4619.786477686916
200.0,500.0,0.0,0.087499881453658,1.8232715185978985,4949.880889907528
200.0,400.0,0.0,0.0985827043515766,4.571021440257367,5789.623270093056
200.0,300.0,0.0,0.1074402513013293,13.581879773101154,7881.898531340294
200.0,200.0,0.0,0.0935419548437891,0.4088032835122328,6104.848941026725
200.0,100.0,0.0,0.079944721988431,0.7345484564681812,6485.732295975461
300.0,900.0,1.0,0.1115158779728996,27.99981687958923,4183.46677337813
300.0,800.0,1.0,0.1194685079421786,61.005351844470965,5224.543978491442
300.0,700.0,1.0,0.1341999728482504,44.59594603367496,4556.5405550607975
300.0,600.0,1.0,0.1612048873058903,190.7401408446768,3997.088593646979
300.0,500.0,1.0,0.1071738142283481,13.301607456849723,5684.914852310402
300.0,400.0,1.0,0.1116735734725623,10.851073760851108,5499.752990128663
300.0,300.0,0.0,0.1052373047910865,6.312197651179605,4715.683507460024
300.0,200.0,0.0,0.1032616522372805,2.817351328372321,6217.196211644737
300.0,100.0,0.0,0.0990570024917546,3.188778219134942,6456.338011724537
400.0,900.0,0.0,0.0784940328587775,1.1098023610952137,5440.288662248112
400.0,800.0,0.0,0.1104477685531558,4.116216873588337,5956.295434393631
400.0,700.0,1.0,0.1227878259113368,18.826989146673785,4937.336807748967
400.0,600.0,1.0,0.1208358929201349,5.97043070310137,4040.57250873449
400.0,500.0,1.0,0.1139615967665349,132.12410961253704,4459.0133101291285
400.0,400.0,1.0,0.0838422317875911,5.558784777140966,5953.7824802191335
400.0,300.0,1.0,0.1179838625060697,1.992676213834848,5557.63834672926
400.0,200.0,0.0,0.11689957793243,6.63131132293633,6735.728918514027
400.0,100.0,0.0,0.0663810240718989,0.0336106948993771,6124.087440854833
500.0,900.0,0.0,0.0933667516832974,1.3079442741673917,4873.950935685428
500.0,800.0,0.0,0.0840170712308165,0.7714038236026848,5284.835639100413
500.0,700.0,0.0,0.1098227884379722,52.50087041178072,6581.836027891874
500.0,600.0,1.0,0.1219697245179487,8.22227139497363,5296.785236768361
500.0,500.0,1.0,0.1198536361769543,3.1422874718956963,5051.547696751199
500.0,400.0,0.0,0.111439770893567,6.312197651179605,5515.918645534619
500.0,300.0,0.0,0.094718553197626,11.788525755442995,4240.0227490702
500.0,200.0,0.0,0.100372811861361,0.402478092400951,5768.851277156438
500.0,100.0,0.0,0.0699397527325402,1.182514940322063,5197.506850991071
600.0,900.0,1.0,0.1460047315898154,18.071089880107586,4440.401730748488
600.0,800.0,1.0,0.121372935561387,4.776925425457075,5471.197107530598
600.0,700.0,0.0,0.1099115029930108,12.384495645219042,3595.586977397444
600.0,600.0,0.0,0.0588710426408954,0.0372567565853449,5621.468640733969
600.0,500.0,0.0,0.0736865774008409,0.4825770710204208,4270.019657633609
600.0,400.0,1.0,0.1121495248814312,22.804211917465143,5675.209132205283
600.0,300.0,1.0,0.1334101080403796,22.701075125761736,5364.430671451201
600.0,200.0,1.0,0.1217022721379773,73.9866480319918,4811.007728101518
600.0,100.0,1.0,0.146499823949845,42.39604391131162,4204.150893237716
700.0,900.0,1.0,0.1112578075351168,0.381031646211926,3919.7849828185913
700.0,800.0,1.0,0.1232059986257911,13.174392727828977,4466.619357015728
700.0,700.0,1.0,0.1148840501157201,5.12137770994541,4058.3242577645383
700.0,600.0,1.0,0.1896818424313185,464.7730483329794,3182.259679934904
700.0,500.0,1.0,0.1717737165427737,348.6815876283871,3980.472226437497
